POS,0,9280,1.32,1.51,0.03,74,x03
POS,0,9280,1.30,1.50,-0.07,65,x03
POS,0,9280,1.31,1.50,-0.17,55,x03
POS,0,9280,1.27,1.50,-0.17,78,x03
POS,0,9280,1.28,1.50,-0.26,76,x03
POS,0,9280,1.31,1.50,-0.16,89,x03
POS,0,9280,1.33,1.50,-0.17,87,x03
POS,0,9280,1.31,1.50,-0.19,79,x03
POS,0,9280,1.30,1.49,-0.24,64,x03
POS,0,9280,1.27,1.49,-0.28,63,x03
POS,0,9280,1.28,1.50,-0.31,66,x03
POS,0,9280,1.32,1.49,-0.19,87,x03
POS,0,9280,1.32,1.49,-0.03,61,x03
POS,0,9280,1.35,1.48,-0.11,75,x03
POS,0,9280,1.38,1.51,-0.06,83,x03
POS,0,9280,1.32,1.50,-0.13,63,x03
POS,0,9280,1.28,1.49,-0.17,67,x03
POS,0,9280,1.33,1.51,-0.04,75,x03
POS,0,9280,1.33,1.49,0.02,89,x03
POS,0,9280,1.32,1.49,0.01,94,x03
POS,0,9280,1.33,1.48,-0.03,92,x03
POS,0,9280,1.31,1.48,-0.05,92,x03
POS,0,9280,1.30,1.49,0.02,86,x03
POS,0,9280,1.31,1.48,-0.08,73,x03
POS,0,9280,1.34,1.51,0.03,79,x03
POS,0,9280,1.30,1.51,-0.06,64,x03
POS,0,9280,1.34,1.47,0.03,74,x03
POS,0,9280,1.35,1.48,-0.04,86,x03
POS,0,9280,1.33,1.49,0.01,88,x03
POS,0,9280,1.33,1.50,0.04,91,x03
POS,0,9280,1.29,1.50,-0.04,71,x03
POS,0,9280,1.27,1.49,-0.11,68,x03
POS,0,9280,1.27,1.49,-0.16,77,x03
POS,0,9280,1.30,1.50,-0.11,90,x03
POS,0,9280,1.29,1.49,-0.16,74,x03
POS,0,9280,1.27,1.50,-0.19,74,x03
POS,0,9280,1.30,1.49,-0.20,87,x03
POS,0,9280,1.26,1.49,-0.24,59,x03
POS,0,9280,1.27,1.49,-0.27,69,x03
POS,0,9280,1.28,1.49,-0.14,83,x03
POS,0,9280,1.28,1.51,-0.13,92,x03
POS,0,9280,1.32,1.50,-0.12,89,x03
POS,0,9280,1.31,1.51,-0.03,83,x03
POS,0,9280,1.31,1.50,-0.08,84,x03
POS,0,9280,1.31,1.50,-0.16,68,x03
POS,0,9280,1.26,1.50,-0.20,62,x03
POS,0,9280,1.30,1.49,-0.11,88,x03
POS,0,9280,1.29,1.49,-0.18,65,x03
POS,0,9280,1.27,1.49,-0.20,73,x03
POS,0,9280,1.28,1.50,-0.12,91,x03
POS,0,9280,1.30,1.49,-0.12,92,x03
POS,0,9280,1.28,1.49,-0.19,64,x03
POS,0,9280,1.30,1.48,-0.20,84,x03
POS,0,9280,1.31,1.49,-0.17,92,x03
POS,0,9280,1.31,1.49,-0.22,69,x03
POS,0,9280,1.30,1.48,-0.24,76,x03
POS,0,9280,1.31,1.49,-0.23,89,x03
POS,0,9280,1.29,1.48,-0.24,75,x03
POS,0,9280,1.27,1.49,-0.27,65,x03
POS,0,9280,1.30,1.49,-0.29,76,x03
POS,0,9280,1.29,1.49,-0.32,62,x03
POS,0,9280,1.24,1.51,-0.30,69,x03
POS,0,9280,1.31,1.52,-0.16,79,x03
POS,0,9280,1.30,1.51,-0.23,60,x03
POS,0,9280,1.26,1.51,-0.24,67,x03
POS,0,9280,1.29,1.49,-0.25,83,x03
POS,0,9280,1.30,1.50,-0.25,83,x03
POS,0,9280,1.31,1.48,-0.31,55,x03
POS,0,9280,1.30,1.48,-0.19,85,x03
POS,0,9280,1.26,1.49,-0.20,69,x03
POS,0,9280,1.25,1.49,-0.24,67,x03
POS,0,9280,1.27,1.48,-0.25,82,x03
POS,0,9280,1.28,1.48,-0.14,89,x03
POS,0,9280,1.24,1.49,-0.17,71,x03
POS,0,9280,1.28,1.50,-0.01,63,x03
POS,0,9280,1.25,1.51,-0.08,73,x03
POS,0,9280,1.27,1.50,-0.09,92,x03
POS,0,9280,1.24,1.49,-0.13,73,x03
POS,0,9280,1.24,1.50,-0.17,74,x03
POS,0,9280,1.26,1.50,-0.05,76,x03
POS,0,9280,1.29,1.49,-0.03,91,x03
POS,0,9280,1.29,1.49,-0.06,91,x03
POS,0,9280,1.27,1.47,0.06,57,x03
POS,0,9280,1.28,1.48,-0.05,68,x03
POS,0,9280,1.29,1.49,0.02,86,x03
POS,0,9280,1.27,1.48,-0.08,62,x03
POS,0,9280,1.27,1.48,-0.16,64,x03
POS,0,9280,1.24,1.49,-0.16,78,x03
POS,0,9280,1.24,1.49,-0.08,85,x03
POS,0,9280,1.27,1.50,0.00,86,x03
POS,0,9280,1.25,1.50,-0.05,75,x03
POS,0,9280,1.23,1.50,-0.13,63,x03
POS,0,9280,1.23,1.50,-0.18,69,x03
POS,0,9280,1.23,1.49,-0.24,61,x03
POS,0,9280,1.20,1.50,-0.26,60,x03
POS,0,9280,1.23,1.49,-0.29,70,x03
POS,0,9280,1.27,1.49,-0.13,78,x03
POS,0,9280,1.29,1.49,-0.17,81,x03
POS,0,9280,1.30,1.50,-0.16,91,x03
POS,0,9280,1.29,1.50,-0.20,76,x03
POS,0,9280,1.32,1.50,-0.18,88,x03
POS,0,9280,1.27,1.51,-0.19,72,x03
POS,0,9280,1.28,1.50,-0.25,64,x03
POS,0,9280,1.29,1.50,-0.10,77,x03
POS,0,9280,1.29,1.51,-0.02,84,x03
POS,0,9280,1.26,1.50,-0.10,63,x03
POS,0,9280,1.30,1.50,-0.04,87,x03
POS,0,9280,1.30,1.49,0.08,61,x03
POS,0,9280,1.29,1.49,0.17,57,x03
POS,0,9280,1.27,1.48,0.05,70,x03
POS,0,9280,1.29,1.49,0.01,91,x03
POS,0,9280,1.28,1.48,-0.02,93,x03
POS,0,9280,1.28,1.48,-0.10,68,x03
POS,0,9280,1.27,1.48,-0.16,73,x03
POS,0,9280,1.31,1.49,-0.01,66,x03
POS,0,9280,1.30,1.49,-0.05,90,x03
POS,0,9280,1.33,1.49,0.03,85,x03
POS,0,9280,1.32,1.50,0.09,80,x03
POS,0,9280,1.35,1.53,0.13,81,x03
POS,0,9280,1.31,1.52,0.01,66,x03
POS,0,9280,1.31,1.51,-0.01,92,x03
POS,0,9280,1.32,1.49,-0.04,93,x03
POS,0,9280,1.23,1.50,-0.09,80,x03
POS,0,9280,1.25,1.49,-0.17,65,x03
POS,0,9280,1.27,1.49,-0.06,80,x03
POS,0,9280,1.25,1.50,-0.12,68,x03
POS,0,9280,1.29,1.50,-0.06,87,x03
POS,0,9280,1.30,1.50,-0.07,93,x03
POS,0,9280,1.32,1.51,0.07,61,x03
POS,0,9280,1.29,1.52,-0.03,65,x03
POS,0,9280,1.32,1.50,-0.07,89,x03
POS,0,9280,1.34,1.49,-0.07,90,x03
POS,0,9280,1.38,1.47,0.01,83,x03
POS,0,9280,1.34,1.47,0.02,90,x03
POS,0,9280,1.30,1.48,-0.07,63,x03
POS,0,9280,1.32,1.46,-0.12,84,x03
POS,0,9280,1.29,1.48,-0.15,75,x03
POS,0,9280,1.26,1.48,-0.20,62,x03
POS,0,9280,1.24,1.49,-0.23,68,x03
